utility,date,amount,exclude,notes
Water,2025-06,11.25,,
Power,2025-06,184.31,,
Internet,2025-06,21.49,,
Trash,2025-06,10.69,,
Water,2025-07,14.16,,
Power,2025-07,220.09,,
Internet,2025-07,21.49,,
Trash,2025-07,12.39,,
Water,2025-08,12.18,,
Power,2025-08,214.64,,
Internet,2025-08,21.49,,
Trash,2025-08,0.00,,No bill this month
Water,2025-09,16.77,,
Power,2025-09,190.79,,
Internet,2025-09,31.52,,
Trash,2025-09,10.69,,
Water,2025-10,17.99,,
Power,2025-10,124.18,,
Internet,2025-10,31.52,,
Trash,2025-10,10.69,,
Water,2025-11,17.99,,
Power,2025-11,132.25,,
Internet,2025-11,31.52,,
Trash,2025-11,10.69,,
Water,2025-12,22.07,,
Power,2025-12,207.52,,
Internet,2025-12,31.52,,
Trash,2025-12,10.69,,
Water,2026-01,20.26,,
Power,2026-01,270.95,,
Internet,2026-01,12.48,,
Trash,2026-01,11.01,,
Water,2026-02,15.51,,
Power,2026-02,194.12,,
Internet,2026-02,12.48,,
Trash,2026-02,11.01,,
Water,2026-03,19.81,,
Power,2026-03,113.36,,
Internet,2026-03,12.48,,
Trash,2026-03,11.01,,
Water,2026-04,43.25,,Possible leak — flag for review
Power,2026-04,103.01,,
Internet,2026-04,12.48,,
Trash,2026-04,11.01,,
Water,2026-06,83.48,,Possible leak — flag for review
Power,2026-06,110.30,,
Internet,2026-06,12.48,,
Trash,2026-06,11.01,,
